tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2020-01-01 00:00,1,119,수원,-6.0,,,9,1.5,,160,,64,,2.5,-11.7,1029.1,,1034.3,,,9,,,,9,9,,,2000,,,-3.7,,,,,
2020-01-01 01:00,2,119,수원,-6.3,,,9,2.4,,160,,74,,2.8,-10.1,1028.6,,1033.8,,,9,,,,9,9,Sc,10,1919,,05,-3.8,,,,,
2020-01-01 02:00,3,119,수원,-6.2,,,9,1.6,,140,,70,,2.7,-10.7,1028.2,,1033.4,,,9,,,,6,6,Sc,10,1955,,05,-4.2,,,,,
2020-01-01 03:00,4,119,수원,-5.8,,0.0,9,1.6,,160,,65,,2.6,-11.3,1028.3,,1033.5,,,9,,,,7,7,Sc,8,2000,,,-4.1,,,,,
2020-01-01 04:00,5,119,수원,-5.4,,,9,1.3,,160,,64,,2.6,-11.1,1028.3,,1033.5,,,9,,,,9,9,Sc,5,2000,,05,-3.5,,,,,
2020-01-01 05:00,6,119,수원,-5.1,,,9,1.0,,160,,67,,2.8,-10.2,1027.6,,1032.8,,,9,,,,9,9,Sc,10,1880,,05,-3.3,,,,,
2020-01-01 06:00,7,119,수원,-4.9,,0.0,9,2.0,,140,,68,,2.9,-9.9,1027.7,,1032.9,,,9,,,,9,9,Sc,13,2000,,,-3.1,,,,,
2020-01-01 07:00,8,119,수원,-4.7,,,9,1.9,,140,,70,,3.0,-9.3,1028.0,,1033.2,,,9,,,,9,9,Sc,11,2000,,,-2.9,,,,,
2020-01-01 08:00,9,119,수원,-4.5,,,9,1.6,,140,,75,,3.3,-8.2,1028.1,,1033.3,,0.0,,0.0,,,9,9,Sc,6,2000,,,-2.8,,,,,
2020-01-01 09:00,10,119,수원,-3.9,,,9,1.2,,160,,79,,3.6,-7.0,1028.5,,1033.7,,0.0,,0.02,,,9,9,Sc,6,2129,,,-2.0,,,,,
2020-01-01 10:00,11,119,수원,-3.5,,,9,1.5,,160,,82,,3.9,-6.1,1028.9,,1034.1,,0.0,,0.18,,,9,9,Sc,5,1890,,,-1.2,,,,,
2020-01-01 11:00,12,119,수원,-3.0,,,9,1.5,,140,,83,,4.1,-5.4,1028.6,,1033.8,,0.0,,0.24,,,9,9,Sc,4,1713,,,-0.7,,,,,
2020-01-01 12:00,13,119,수원,-2.5,,,9,1.4,,70,,79,,4.0,-5.6,1027.8,,1033.0,,0.0,,0.38,,,9,9,Sc,4,1979,,,-0.2,,,,,
2020-01-01 13:00,14,119,수원,-1.5,,,9,1.7,,140,,80,,4.4,-4.5,1027.0,,1032.1,,0.0,,0.73,,,9,9,Sc,5,1724,,,0.6,,,,,
2020-01-01 14:00,15,119,수원,-0.5,,,9,1.1,,140,,79,,4.6,-3.7,1026.7,,1031.8,,0.0,,0.75,,,9,9,Sc,7,1385,,,0.7,,,,,
2020-01-01 15:00,16,119,수원,0.0,,,9,1.2,,160,,79,,4.8,-3.2,1026.8,,1031.9,,0.0,,0.52,,,9,9,Sc,13,1491,,,0.2,,,,,
2020-01-01 16:00,17,119,수원,0.2,,,9,1.2,,160,,80,,5.0,-2.8,1027.2,,1032.3,,0.0,,0.34,,,8,8,Sc,14,1651,,,0.0,,,,,
2020-01-01 17:00,18,119,수원,0.1,,,9,0.7,,180,,85,,5.2,-2.1,1027.2,,1032.3,,0.0,,0.11,,,9,9,Sc,13,1130,,,-0.3,,,,,
2020-01-01 18:00,19,119,수원,0.0,,,9,1.2,,160,,87,,5.3,-1.9,1027.2,,1032.3,,0.0,,0.0,,,9,9,Sc,12,1121,,,-0.2,,,,,
2020-01-01 19:00,20,119,수원,-0.1,,,9,1.0,,160,,89,,5.4,-1.7,1027.1,,1032.2,,,9,,,,0,0,,,730,,19,-0.3,,,,,
2020-01-01 20:00,21,119,수원,-0.3,,,9,0.7,,160,,90,,5.4,-1.7,1026.8,,1031.9,,,9,,,,0,0,,,933,,19,-0.2,,,,,
2020-01-01 21:00,22,119,수원,0.0,,,9,0.2,,0,,87,,5.3,-1.9,1026.8,,1031.9,,,9,,,,9,9,Sc,10,1422,,19,-0.2,,,,,
2020-01-01 22:00,23,119,수원,-0.1,,,9,0.4,,0,,89,,5.4,-1.7,1026.9,,1032.0,,,9,,,,10,10,,8,977,,19,-0.2,,,,,
2020-01-01 23:00,24,119,수원,0.0,,,9,0.3,,0,,90,,5.5,-1.4,1027.1,,1032.2,,,9,,,,9,9,,9,940,,19,-0.3,,,,,
2020-01-02 00:00,25,119,수원,-0.2,,,9,0.7,,140,,90,,5.4,-1.6,1026.6,,1031.7,,,9,,,,9,9,,,1127,,19,-0.4,,,,,
2020-01-02 01:00,26,119,수원,-0.2,,,,0.6,,110,,87,,5.2,-2.1,1026.0,,1031.1,,,9,,,,9,9,,11,1447,,,-0.5,,,,,
2020-01-02 02:00,27,119,수원,0.0,,,,0.6,,90,,83,,5.1,-2.5,1025.6,,1030.7,,,9,,,,9,9,,10,1335,,,-0.5,,,,,
2020-01-02 03:00,28,119,수원,0.0,,,,0.6,,160,,81,,5.0,-2.8,1025.4,,1030.5,,,9,,,,9,9,Sc,10,1021,,,-0.6,,,,,
2020-01-02 04:00,29,119,수원,-0.3,,,,0.1,,0,,84,,5.0,-2.6,1025.5,,1030.6,,,9,,,,9,9,Sc,10,961,,19,-0.6,,,,,
2020-01-02 05:00,30,119,수원,-0.3,,,,0.4,,0,,84,,5.0,-2.6,1025.4,,1030.5,,,9,,,,9,9,Sc,10,880,,19,-0.6,,,,,
2020-01-02 06:00,31,119,수원,0.1,,,,0.3,,0,,82,,5.0,-2.6,1025.5,,1030.6,,,9,,,,9,9,Sc,10,962,,19,-0.6,,,,,
2020-01-02 07:00,32,119,수원,0.3,,,,0.9,,110,,82,,5.1,-2.4,1025.8,,1030.9,,,9,,,,9,9,Sc,10,918,,19,-0.7,,,,,
2020-01-02 08:00,33,119,수원,0.1,,,,0.3,,0,,83,,5.1,-2.4,1026.0,,1031.1,,0.0,,0.0,,,9,9,Sc,10,877,,19,-0.7,,,,,
2020-01-02 09:00,34,119,수원,0.8,,,,0.6,,110,,81,,5.3,-2.0,1026.3,,1031.4,,0.0,,0.06,,,9,9,Sc,13,820,,19,-0.4,,,,,
2020-01-02 10:00,35,119,수원,1.6,,,,0.9,,160,,78,,5.4,-1.8,1026.3,,1031.4,,0.0,,0.26,,,9,9,Sc,13,838,,19,-0.2,,,,,
2020-01-02 11:00,36,119,수원,2.1,,,,1.2,,160,,77,,5.5,-1.5,1026.2,,1031.3,,0.0,,0.46,,,9,9,Sc,11,836,,19,0.1,,,,,
2020-01-02 12:00,37,119,수원,2.4,,,,1.4,,140,,77,,5.6,-1.2,1025.4,,1030.4,,0.0,,0.42,,,9,9,Sc,9,776,,19,0.6,,,,,
2020-01-02 13:00,38,119,수원,2.4,,,,1.3,,160,,78,,5.7,-1.0,1024.3,,1029.3,,0.0,,0.28,,,9,9,Sc,8,667,,19,0.4,,,,,
2020-01-02 14:00,39,119,수원,2.6,,,,0.8,,160,,76,,5.6,-1.2,1023.9,,1028.9,,0.0,,0.24,,,9,9,Sc,8,659,,19,0.2,,,,,
2020-01-02 15:00,40,119,수원,3.0,,,,0.6,,270,,77,,5.8,-0.6,1024.3,,1029.3,,0.0,,0.15,,,9,9,Sc,8,622,,19,0.4,,,,,
2020-01-02 16:00,41,119,수원,3.2,,,,1.1,,250,,80,,6.1,0.0,1024.3,,1029.3,,0.0,,0.19,,,9,9,Sc,9,605,,19,0.5,,,,,
2020-01-02 17:00,42,119,수원,2.8,,,,0.5,,230,,82,,6.1,0.0,1024.2,,1029.2,,0.0,,0.08,,,9,9,Sc,8,588,,19,0.0,,,,,
