■ 군집크기
[93, 83, 172]
■ 대조군 : 군집화 X
[7.5317, 0.0607, 98.26, 9.9126, 0.0061, 0.2162, 0.9171]
■ 실험군 01-01 : C0 군집의 합
[1.9019, 0.0783, 5.9633, 2.442, 0.0089, 0.3551, 0.859]
■ 실험군 01-02 : C1 군집의 합
[3.1898, 0.08, 17.3318, 4.1631, 0.01, 0.388, 0.8676]
■ 실험군 01-03 : C2 군집의 합
[3.7936, 0.0628, 24.9075, 4.9907, 0.0063, -0.2556, 0.9174]
■ 실험군 02 : 모든 군집의 합
[7.0237, 0.0564, 85.3271, 9.2373, 0.0053, 0.4875, 0.928]
