■ 군집크기
[10, 136, 202]
■ 대조군 : 군집화 X
[5.8008, 0.0421, 54.199, 7.362, 0.0055, 4.4924, 0.9543]
■ 실험군 01-01 : C0 군집의 합
[5.13, 0.2342, 39.765, 6.3059, 0.2455, 4.8138, 0.2897]
■ 실험군 01-02 : C1 군집의 합
[1.8485, 0.0442, 5.8879, 2.4265, 0.0059, 1.3579, 0.947]
■ 실험군 01-03 : C2 군집의 합
[5.667, 0.1109, 41.0362, 6.406, 0.0148, -5.4314, 0.8614]
■ 실험군 02 : 모든 군집의 합
[4.6741, 0.0389, 38.4905, 6.2041, 0.0031, 0.7403, 0.9675]
