■ 군집크기
[173, 80, 95]
■ 대조군 : 군집화 X
[12.0754, 0.0985, 305.7548, 17.4858, 0.017, -1.0889, 0.7421]
■ 실험군 01-01 : C0 군집의 합
[5.7038, 0.0939, 60.7485, 7.7941, 0.0145, -0.5963, 0.8013]
■ 실험군 01-02 : C1 군집의 합
[4.0846, 0.1037, 29.0364, 5.3885, 0.0173, 0.9643, 0.7682]
■ 실험군 01-03 : C2 군집의 합
[2.8627, 0.1159, 16.0722, 4.009, 0.0207, 0.2456, 0.6352]
■ 실험군 02 : 모든 군집의 합
[9.7988, 0.0784, 167.9416, 12.9592, 0.01, 0.6136, 0.8583]
