■ 군집크기
[10, 136, 202]
■ 대조군 : 군집화 X
[5.8008, 0.0421, 54.199, 7.362, 0.0055, 4.4924, 0.9543]
■ 실험군 01-01 : C0 군집의 합
[1.8904, 1.1117, 3.5983, 1.8969, 0.2711, -1.8904, -3.7318]
■ 실험군 01-02 : C1 군집의 합
[1.9637, 0.032, 7.5606, 2.7497, 0.0026, 0.7793, 0.9712]
■ 실험군 01-03 : C2 군집의 합
[7.3728, 0.1456, 74.1584, 8.6115, 0.0263, -6.0458, 0.7758]
■ 실험군 02 : 모든 군집의 합
[9.2351, 0.0896, 118.9586, 10.9068, 0.0113, -7.1569, 0.8997]
